Name,URL,Text
Investor's Center - Housing Bank,https://hbtf.com/en/investor-relations,"investor's center - housing bank important information and non-deposited shares and disclosures about our shareholders. gam the general assembly meeting of housing bank for trade and finance. major shareholders the shareholders owning (5%) or more of the bank’s capital our vision: the housing bank for trade & finance (hbtf) is the preferred bank for customers. board members our core values: satisfying customers, caring for employees and rewarding outstanding performance and teamwork. management team presentation hbtf investors center quarterly presentation housing bank rating integrated banking solutions and services for all segments of customers of small, medium and large companies. the annual report that includes financial performance, work achievements and developments in various sectors during the year. memorandum memorandum of association to read about hbtf by-law click on download pdf download pdf housing bank governance & compliance with the applicable laws and regulations contact details approval of 2024 financial statements and 30% cash dividends, distribution jod 150.3 million net profits for 2024 read foreign account tax compliance act (fatca) the act combats tax evasion of us expatriates financial performance htbf's major financial indicators"
Corporate Social Responsibility - Housing Bank,https://hbtf.com/en/communities,"corporate social responsibility - housing bank the imkan by iskan csr program through our corporate social responsibility (csr) program, imkan by iskan, we strive to balance between our banking services and community development. our goal is to make a tangible positive impact on various categories and segments through the care and support programs we adopt and launch in local communities, ultimately achieving sustainable development. imkan by iskan volunteer activities we encourage our staff to engage in voluntary work to serve their community and entrench their good citizenship. since its establishment, housing bank has maintained its outstanding leadership in achieving sustainability by pursuing a strategic approach in its policies and practices. received from several global institutions & organizations"
Annual Reports - Housing Bank,https://hbtf.com/en/annual-reports,annual report 2020 (animated) annual report 2020 annual report 2019 annual report 2018 annual report 2017 annual report 2016 annual report 2015 annual report 2014
Working at HBTF - Housing Bank,https://hbtf.com/en/working-at-hbtf,"working at hbtf - housing bank hbtf focuses on its employees, offering careers rather than jobs. there are various innovative initiatives to transform employees into valuable assets and value adding. all our training sessions are best-in-class programs. hbtf has established an intensely rooted policy for employment and training summarized as follows: on-board talents with high standard of performance and experience, in addition to high academic qualifications with excellent academic records attract a qualified candidate with an excellent academic record conduct special tests for our potential candidates to ensure suitable professional and self-inherited interpersonal skills develop the academic knowledge and practical skills for our present staff to meet the work requirements which will end up achieving the bank goals and objectives our main aim is to enhance employee levels of skills, knowledge, and abilities. the hbtf staff are provided with competitive remuneration packages that include additional benefits over and above the basic salary for hbtf employees with special rewards for hbtf's top performers. all employees are subject to a transparent appraisal system that, along with the remuneration system, is considered among the best systems in the banking industry the comprehensive restructuring program implemented by hbtf aims to: adopt an advanced organizational structure based on customer focus focus on income generating banking activities develop and upgrade the internal work environment with all its systems, policies, procedures and goals focusing on automation enhance employees' productivity and rationalize the work procedures, which will lead to cost-effectiveness, increase of revenues and consequently to achieve the bank's strategic goals represented by boosting profitability and return on investment to apply please and please insert all your personal information, qualifications and experiences. kindly note that your application's validity is one year from the application submitted date. training & development hbtf seeks and attracts talents who are capable of adapting to new trends in the banking sector locally and worldwide. it takes special care in providing the staff with high quality training & development plans to meet various business challenges to face competition in the banking sector. training & development philosophy equip staff with necessary knowledge and skills on latest updates of the banking industry to provide excellent services, as the training considered investment in human capital. provide staff with directions to cover gaps in performance by comparing the current performance levels to desired ones. encourage staff to improve work and processes through increasing productivity and reducing operational cost. prepare future leaders with ability of adaptation to persistent changes and leading the way. training & development methodology hbtf meets the training needs and requirement through various channels, such as in-house training courses at the bank premises, delegate employees to participate in various conferences and seminars locally and globally and acquiring specialized professional certificates issued by regulatory and global parties. hbtf also adopts well-known educational e-learning tools and platforms which tackle certain aspects such as (english language, computer skills, regulations and product knowledge …etc.) to enhance skills in various and specialized topics, targeting all staff or different segments and functions of the bank. the training & development center is located within hbtf commercial complex, it contains eight training rooms including two labs equipped with developed audio and visual features to mainly train staff on computer skills and banking systems, it also contains a virtual branch (iskan universe) that is mainly designed to provide staff with intensive practical training related to systems and customer service skills (role-plays)."
- Housing Bank,https://hbtf.com/en/financial-institutions,"- housing bank global services trade finance & global payment services provided to our clients and fis entails international banking relations and services download moody's credit opinion, moody's hbtf profile, and moody's rating action all incoming payment orders processed through jordanian banks must include a payment purpose code standard settlement to view the standard settlement instructions download financial institutions department contact details"
Retail Programs - Housing Bank,https://hbtf.com/en/retail/programs,"retail programs - housing bank various programs tailored to meet your needs edge is designed by housing bank to recognize our most distinguished customers and provide them with personalized services to meet their banking needs. we designed iskan plus program exclusively for our distinguished customers, to take you to a distinguished level of banking services. get ready for a unique banking experience that combines new and exclusive features to start your exceptional financial journey with the housing bank. learn more about the accounts products and services by the housing bank an account that enables you to invest your money with attractive interest and financial returns and for different bonding periods of up to one year savings account designed for all the bank's customers, to be able to save for their future and the future of their children an account for employees and for those who receive a monthly salary, you, as an employee, can get multiple benefits and benefits"
Accounts - Housing Bank,https://hbtf.com/en/retail/accounts,"accounts - housing bank the bank offers a distinctive and varied package of bank account products that suit all your needs and desires of customers of different segments and ages conditions of opening bank accounts a current account designed for merchants who use points of sale (pos) the savings account is designed for all our customers, individuals so that they can save for their future this account is created to all clients who wish invest in their savings over a period aiming for high returns. you have the option to open this account in various currencies a package of financing programs in the field of housing, consumer or auto loans to help you achieve your dreams and desires a special package of debit and credit cards to suit your needs, with the advantage of involving you in the iskan coins service collect iskan coins and get rewards every time you pay for your purchases using your debit or credit cards banking solutions and services for all customer segments from small, medium and large companies do you want to get a loan? learn more about the distinctive housing bank loans faqs about accounts what are the advantages of opening a salary account with housing bank? - you can withdraw your salary in advance at any time - you can get your debit card without issuance fees - you will get free access to all housing bank electronic services (call center (iskan 24/7) , phone bank, iskan online, iskan mobile and iskan sms) - you can pay different utility bills - you can apply for loans or credit facilities you need with preferential terms - when you sign up for the free sms messaging service, you will be notified when your salary is deposited and when any transactions are made on your account who should open a savings account? the savings account is designed for all our customers. this is because it suits all those customers who wish to save money for their family and achieve financial security in the future. who is qualified for a time deposit account? this account is designed for all customers, individuals, companies and business owners. it enables them to invest their money with high returns for different tied up periods with the ability to open this account in many currencies. what is the minimum limit for opening a savings account? 100 jods is the minimum limit for opening a savings account."
Cards - Housing Bank,https://hbtf.com/en/retail/cards,"cards - housing bank efawateercom‎‏ settle your bills instantly by using efawateercom service through our banking e-channels instantly through your visa credit card. balance transfer make the move and discover the benefits of our cards installment programm with credit cards (visa), enjoy our installment program over flexible periods starting from 3 months up to 24 months faqs about cards can i access the lounges using my credit card? yes, holders of housing bank (infinite, infinite $, signature, platinum) credit cards can access airport lounges."
Loans - Housing Bank,https://hbtf.com/en/retail/loans,"loans - housing bank the housing bank provides a package of financing programs in the field of housing, consumer or car loans to help you achieve your dreams and desires housing loan program under the association of banks of jordan initiative housing loan at 4.99% decreasing interest rate fixed for the first 3 years instant loan enjoy a convenient and efficient solution for your financial needs, with a loan amount up to jod 20,000 and a two-month grace period. housing loan in collaboration with slc the national self-employment program in cooperation with the business development center to support small & medium enterprises purchases installment program split your installment at your convenience with 0% interest rate on cash price advanced salary advanced salary service enables you to get your salary in advance on any day of the month before it reaches the bank learn more about the accounts products and services by the housing bank term deposit account an account that enables you to invest your money with attractive interest and financial returns and for different bonding periods of up to one year mustaqbali account an account dedicated to a segment of customers under 18 years of age and aims to secure the future of children, motivate them to save behavior and develop banking dealing skills an account for employees and for those who receive a monthly salary, you, as an employee, can get multiple benefits and benefits"
Credit Programs - Housing Bank,https://hbtf.com/en/corporate/credit-programs,"credit programs - housing bank appropriate banking services to various customer segments, from small, medium and large companies, export institutions and importers, that meet their diverse banking needs. a program dedicated to financing small, medium, and large private sector companies a program dedicated to financing new and existing projects (including expansion, improvement and development) for customers of small and medium-sized companies industrial loan program business loan program start-ups business loan program tourism loan program (corporate) this program is dedicated to suitable financing of customers segment of small companies, individuals within touristic sector in cooperation with the usaid. med-term loans a program dedicated to providing financing for various economic sectors with many advantages through the central bank to cope with the developments concerning environmental, social and economic sustainability standards export credit guarantee program in cooperation with jordan loan guarantee corporation aims to encourage and provide protection for the jordanian exporter central bank program to support msme’s in cooperation with international bank for reconstruction and development first central bank program in cooperation with international bank for reconstruction and development to support msme’s in cooperation with international bank for reconstruction and development to support msme’s third central bank program in cooperation with international bank for reconstruction and development to support msme's central bank program to support msme’s in cooperation with arab fund for economic and social development third central bank program dedicated to support micro, small and medium companies in cooperation with arab fund for economic and social development dedicated to support micro, small and medium companies in cooperation with arab fund for economic and social development arab trade finance program / abu dhabi program dedicated to financing import operations between arab countries or exporting from arab countries to all parts of the world other purposes financing program in cooperation with the arab fund for economic and social development contact us credit programs and business planning unit fixed assets financing program this program is dedicated to suitable financing of customers segment of small companies, individual businessmen, craftsmen"
E-Services - Housing Bank,https://hbtf.com/en/retail/eservice,"e-services - housing bank e-services offer an easier way of paying bills, transferring money to family and friends, making online purchases, and other electronic services securely 24 hours a day, 7 days a week. general terms & conditions transfers limits via e-channels pay easily ,pay fast with apple pay iskanq booking website iskanq access a wide range of digital banking services directly in the palm of your hand anywhere you are (24/7) with iskan pay application there is no need to carry your card in your wallet from now on! download iskan pay app iskan chat will be ready to respond to you, giving you the opportunity to apply for loans or debit cards to save your time and effort. we have worked hard at covering a wide area of jordan with atms machines which operate 24/7 our self-service branch enables you to conduct many of your banking transaction make a phone call to our call center (iskan 24/7) and a qualified customer service representative will insure that all your requirements and inquiries are met track your account activity through notifications"
News - Housing Bank,https://hbtf.com/en/news,
Iskan Knowledge - Housing Bank,https://hbtf.com/en/iskan-knowledge,
Real Estate for Sale - Housing Bank,https://hbtf.com/en/realestate,"aq-bld-100867 2253 79,000 aq-bld-100882 822.17 aq-re-100360 447/133 184 aq-re-100313 qarouq algarbi, 13 1248/-102 172 aq-re-100864 136/121 aq-re-100863 136/111 aq-re-100743 al-balad, 36 1061/121 107 aq-re-100865 136/122 87 16,000 aq-bld-100767 almardama al jonaoubyeh, 5 1180 464 124,000 aq-bld-100885 63 366 aq-bld-100714 835 aq-lnd-100956 zarqa, zarqa lands, khaw rawad shbeib, 2 1203 aq-re-100950 3422/121 aq-re-100917 berket barekh , 7 4361/113 aq-re-100914 881/113 aq-re-100826 alwasyah, 3 63/101 aq-bld-100741 amman governorate, south amman, sahab abu sowaneh, 4 aq-re-100346 3272/101 39,000 aq-bld-100872 marsas, 5 431+ 430 2010 567,000 aq-bld-100960 alsayeh, 8 222 248"
Branches & ATMs - Housing Bank,https://hbtf.com/en/branches,
Savings Account Prizes Winners 2025 - Housing Bank,https://hbtf.com/en/saving-winners/2025,"savings account prizes winners 2025 - housing bank gold is always gold the chance to win is closer with savings accounts (daily, monthly, quarterly, semiannually, end-of-year prize) distributed across all governorates terms and conditions daily prize 12 winners per day, each one gold lira monthly prize 12 winners per month, each one gold ounce quarterly prize 12 winners on march and september, each one 1/4 kg gold june prize 12 winners on june, each one 1/2 kg gold end of year prize 12 winners on december, each one 1 kg gold learn more about saving account search by account number daily prize winners (gold lira) monthly prize quarterly prize june prize end of year prize filter daily prize winners daily winners (gold lira) don’t forget to check if you’re one of the winners filter monthly prize winners monthly prize winners here we will publish the winners filter quarterly prize winners quarterly prize winners here we will publish march & june prize winners filter september prize winners september prize winners here we will publish the winners end of year prize winners here we will publish the end of year prize winners"
Cashback on your installments at Al Dada Group - Housing Bank,https://hbtf.com/en/dada-group-cashback,"cashback on your installments at al dada group - housing bank cashback on your installments at al dada group get back your first 2 installments on 24-month plans when you pay with your credit card at al dada group pay with your credit card at al dada group and get back your first 2 installments on 24-month plans, or your first installment on 12-month plans. the customer will receive cashback when making purchases and installing them at al dada group showrooms the campaign starts on 20/9/2025 and ends on 30/9/2025 the customer must install the transaction to receive the cashback the credit card must be active at the time of calculating the cashback value the campaign includes all types of housing bank credit cards the cashback will cover the first installment if the transaction is installed over 12 months, and the first two installments if installed over 24 months the campaign includes retail customers and housing bank employees installment program terms and conditions apply *you don't have a credit card? issue one now"
Shop and get 5% instant discount - Housing Bank,https://hbtf.com/en/haider-murad-discount,shop and get 5% instant discount - housing bank shop and get 5% instant discount 5% instant discount when you use your debit card at haider murad group enjoy 5% instant discount when you use your debit card at haider murad group the campaign is valid from 1/9/2025 to 25/12/2025 transactions must be made using ni and meps pos machines the campaign applies only to purchases made with housing bank debit cards this campaign is held in collaboration with haider murad group and du save *if you don't have a debit card? issue one now
"Coffee’s on You, Cookie’s on Us! - Housing Bank",https://hbtf.com/en/al-ameed-offer,"coffee’s on you, cookie’s on us! - housing bank coffee’s on you, cookie’s on us! enjoy a free cookie when you use any housing bank credit card to purchase coffee at al ameed coffee, shmeisani branch. the campaign is valid until 07/10/2025, on mondays and thursdays only the campaign is open exclusively to housing bank visa credit cardholders buy any type of coffee except turkish coffee, espresso, macchiato, and cortado to receive a free cookie offer valid only at al ameed coffee – shmeisani branch *you don't have a credit card? issue one now"
Exclusive discounts await you in the UK - Housing Bank,https://hbtf.com/en/uk-discounts,"exclusive discounts await you in the uk - housing bank exclusive discounts await you in the uk 1) duck & waffle use any of housing bank visa debit, credit, and v-card and get a complimentary mocktail and amuse bouche. duck & waffle is solely responsible for this offer offer is only valid at duck & waffle london. valid for up to 8 guests per booking. cannot be combined with any other offer or set menu not available on christmas day, boxing day, new year’s eve, new year’s day, valentine’s day, or bank holidays. reservation is required to redeem, book your table online at sevn.ly/x6exnnwb payment must be made at the restaurant with a valid housing bank visa debit, credit, and v-card 2) sushisamba use any of housing bank visa debit, credit, and v-card and get a complimentary mocktail and amuse bouche. sushisamba is solely responsible for this offer offer is only valid at sushisamba heron tower and sushisamba covent garden valid for up to 8 guests per booking. it cannot be combined with any other offer or set menu not available on christmas day, boxing day, new year’s eve, new year’s day, valentine’s day, or bank holidays. reservation is required to redeem, book your table online at the links below. payment must be made at the restaurant with a valid housing bank visa debit, credit, and v-card heron tower: sevn.ly/xejxbip6 covent garden: sevn.ly/xbze71hq 3) golden tours use any of housing bank visa debit, credit, and v-card and get up to 25% off selected tours and activities. golden tours is solely responsible for this offer. for the full list of applicable tours and discounts, visit visa.gttickets.com visa.gttickets.com payment must be made with a valid housing bank visa debit, credit, and v-card 4) the mandrake use any of housing bank visa debit, credit, and v-card and get the best available rate, a complimentary room upgrade, and complimentary breakfast. the mandrake is solely responsible for this offer complimentary upgrade is subject to availability a discretionary 5% accommodation service charge will be added to the bill all rates and room types are subject to availability at the time of booking. rates are per room per night and include vat all reservations must be guaranteed with a credit card to redeem, book your stay online at reservations.travelclick.com , use promo code visame , and pay with a valid housing bank visa debit, credit, and v-card"
Green Financing Program in cooperation with the Arab Fund for Economic and Social Development - Housing Bank,https://hbtf.com/en/corporate/green-program,"green financing program in cooperation with the arab fund for economic and social development - housing bank housing bank offers a unique programs for green financing and renewable energy projects through collaborations with external parties. these programs offer numerous advantages, such as lower interest rates, cashback, flexible repayment periods, and other advantages that meet the diverse needs of customers in the banking sector green project financing program in cooperation with (ebrd) a program dedicated to financing all forms of green projects and products for private sector customers including small, medium, and large enterprises the renewable energy & green financing program dedicated to offer suitable financing for green projects & renewable energy sector through the jordanian central bank dedicated to financing all forms of green projects and products for corporate private sector clients"
Contactless cash withdrawal via Mobile (Tokenization) - Housing Bank,https://hbtf.com/en/tokenization,"contactless cash withdrawal via mobile (tokenization) - housing bank contactless cash withdrawal via mobile (tokenization) tokenization feature allowing customers to withdraw cash by simply tapping their smartphones on the contactless nfc reader atm network a new tokenization feature has been activated on atms, allowing customers to withdraw cash by simply tapping their smartphones on the contactless nfc reader. this enhancement positively impacts the quality of service provided. details are as follows: for ios (apple) devices: all customers using iphones with active apple pay can withdraw cash from atms. available for both local and international bank customers. per transaction limit: 500 jod for housing bank customers, and 250 jod for other banks. daily limit: 10 transactions, up to a total of 3,000 jod. for android devices: housing bank customers using android devices with active iskan pay can withdraw cash using their phones. customers from other banks using housing bank atms can also withdraw cash via tokenization, provided their devices support apple pay, google pay, and so on. available for both local and international bank customers. per transaction limit: 500 jod for housing bank customers, and 250 jod for others. daily limit: 10 transactions, up to a total of 3,000 jod. to view our atm network"
Use Iskan Mobile app to participate on the monthly draw to win gold lira - Housing Bank,https://hbtf.com/en/iskan-mobie-prizes,"use iskan mobile app to participate on the monthly draw to win gold lira - housing bank use iskan mobile app to participate on the monthly draw to win gold lira winners names campaign duration the campaign will run from may 1, 2025 until december 31, 2025. campaign prizes a monthly draw will be held with 10 winners , each receiving one gold lira earning chances activity chances per action minimum to qualify chance eligibility criteria logging into the app 1 chance per day 20 chances per month log in on 20 different days during the same month - performing a transaction via: · efawateercom · e-voucher 2 chances per transaction 10 chances per month complete 5 transactions via efawateercom and/or e-vouchers chances are calculated separately for each month; they do not carry over from one month to the next prizes will be forfeited after six months if the winner does not claim them from the bank each customer is eligible to win only once during the entire campaign period a minimum of 30 chances per month is required to qualify for the draw customers may increase their chances by making additional transactions via efawateercom and/or e-voucher deceased customers are excluded from participating in the draws housing bank employees and their families are not eligible for this campaign the campaign is open to all existing and new customers iskan young accounts are excluded from the prize eligibility 1- download and install the application directly on your mobile phone by searching (iskan mobile) either at the for ios device a google play store for android device or 2- login for existing iskan mobile users 3-forget your password? no problem , and follow the steps in the user guide 4- dont have an account yet? register now or for more guidance"
Your Car Loan Ready When You Are! - Housing Bank,https://hbtf.com/en/auto-loan-campaign,"your car loan ready when you are! - housing bank your car loan ready when you are! apply now with a fixed interest rate starting from 3.99% financing up to 150,000 jod. financing up to 100% of the car’s estimated value. loan tenor up to 8 years, including a grace period grace period up to 3 months. financing non-jordanians, expatriates, and resident car owners. loan commission fees are 1% (applied in the first year only). low-documentation financing available for up to 80%. valid national id or valid passport for non-jordanians. income verification letter, latest salary slip, bank statement for the last 6 months. social security subscription letter. company registration certificate for entities, valid profession license, practice profession license and association membership certificate. car appraisal. car license. final selling price offer. *the bank has the right to request additional documents minimum loan amount is 3,000 jod. minimum loan tenor is 12 months. minimum income is 350 jod. maximum dbr is up to 50% and for social security retirees, up to 60%. minimum age is 18 years and not to exceed 75 years at the end of loan the tenor. minimum working experience is 3 months for salaried employees with stability, 4 months for non-salaried employees with stability, and one year for self-employed and professionals. ability of finance jordanian residents, non-jordanian residents, non-jordanian residents in jordan (arab and foreign nationalities). loan accounts will be transferred to non-performing loan account when payments of the interest or principal are past due by 90 days or more. late payment penalty is 10 jod due after 5 days of the payment maturity date for salaried customers, and after 2 days for self-employed customers. the offer expires on 31/12/2025. all applications are subject to the bank’s terms and conditions."
